nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Legend of the Dragon,Wii,Fighting,Game Factory,0.06,1-May-07,37.0,14.0,4.8,5.0,Neko Entertainment
Kawashima Ryuuta Kyouju Kanshuu Nouryoku Trainer Portable 2,PSP,Misc,Sega,0.09,,,,,,
Backyard NFL Football '10,X360,Sports,Atari,0.1,,,,,,
Payday 2,PS3,Action,505 Games,0.22,13-Aug-13,74.0,12.0,7.2,106.0,Overkill Software
NBA 2K11,Wii,Sports,Take-Two Interactive,0.47,19-Oct-10,,,tbd,,Visual Concepts
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,7.8,11-Nov-11,96.0,89.0,8.4,2938.0,Bethesda Game Studios
DT Carnage,PSP,Racing,Agetec,0.04,21-Apr-09,,,tbd,,Axis Entertainment
DeathSmiles,X360,Shooter,Rising Star Games,0.25,29-Jun-10,76.0,29.0,8.5,41.0,Cave
The Croods: Prehistoric Party!,Wii,Misc,D3Publisher,0.01,,,,,,
Muv-Luv Alternative,PS3,Adventure,5pb,0.01,,,,,,
Sonic Unleashed,Wii,Platform,Sega,2.04,18-Nov-08,66.0,30.0,7.4,104.0,Sonic Team
MLB,PSP,Sports,Sony Computer Entertainment,0.24,12-Apr-05,80.0,26.0,8.7,15.0,989 Sports
Rhythm Thief & the Emperor's Treasure,3DS,Misc,Sega,0.23,,,,,,
Angry Birds: Star Wars,WiiU,Strategy,Activision,0.02,29-Oct-13,,,6.8,17.0,Rovio Entertainment Ltd
Hotel for Dogs,Wii,Simulation,505 Games,0.05,6-Jan-09,,,tbd,,505 Games
Invizimals,PSP,Strategy,Sony Computer Entertainment,0.74,12-Oct-10,69.0,32.0,6.9,15.0,Novarama
Chromehounds,X360,Simulation,Sega,0.27,11-Jul-06,71.0,60.0,7.1,67.0,From Software
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,PSP,Misc,Daito,0.03,,,,,,
Machi-ing Maker 4,PS3,Strategy,D3Publisher,0.02,,,,,,
Elminage Original: Majo to Megami to Kamigami no Yubiwa,PSP,Role-Playing,Starfish,0.02,,,,,,
NBA 2K10,PSP,Sports,Take-Two Interactive,0.31,6-Oct-09,,,9.1,11.0,Visual Concepts
Avatar: The Last Airbender - Into the Inferno,Wii,Adventure,THQ,0.19,,,,,,
Tom Clancy's Splinter Cell: Conviction,X360,Action,Ubisoft,1.98,13-Apr-10,85.0,90.0,7.7,523.0,Ubisoft Montreal
Virtua Tennis 2009,Wii,Sports,Sega,0.35,9-Jun-09,73.0,33.0,7.7,21.0,Sumo Digital
Sonic the Hedgehog,X360,Platform,Sega,0.98,14-Nov-06,46.0,38.0,4.5,243.0,Sega
Portal 2,PS3,Shooter,Valve,1.51,19-Apr-11,95.0,54.0,8.3,738.0,Valve Software
LEGO Star Wars II: The Original Trilogy,PSP,Action,LucasArts,1.37,12-Sep-06,83.0,11.0,9,22.0,Traveller's Tales
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,4.12,20-Mar-06,94.0,90.0,8.7,938.0,Bethesda Softworks
Hail to the Chimp,X360,Misc,Gamecock,0.04,2-Jul-08,52.0,23.0,6.1,7.0,Wideload Games Inc.
Family Jockey,Wii,Sports,Namco Bandai Games,0.01,,,,,,
Tom Clancy's Rainbow Six: Vegas,X360,Shooter,Ubisoft,1.92,20-Nov-06,88.0,69.0,8.4,179.0,Ubisoft Montreal
Cabela's Legendary Adventures,Wii,Sports,Activision,0.17,17-Sep-08,,,tbd,,FUN Labs
Criminal Girls,PSP,Role-Playing,Nippon Ichi Software,0.08,,,,,,
Ore no Yome: Anata Dake no Hanayome,X360,Adventure,Idea Factory,0.02,,,,,,
"What Did I Do to Deserve This, My Lord!? 2",PSP,Role-Playing,Nippon Ichi Software,0.22,,,,,,
Darksiders,X360,Action,THQ,1.01,5-Jan-10,83.0,81.0,7.8,244.0,Vigil Games
Babysitting Mama,Wii,Simulation,505 Games,0.48,5-Nov-10,,,tbd,,Cooking Mama Limited
Saint,Wii,Shooter,Unknown,0.02,21-Jul-09,,,tbd,,Starfish
Just Dance 4,WiiU,Misc,Ubisoft,0.23,18-Nov-12,66.0,14.0,8.2,28.0,Ubisoft Paris
Battle vs. Chess,PS3,Misc,TopWare Interactive,0.03,TBA,,,,,TopWare Interactive
Robert Ludlum's The Bourne Conspiracy,X360,Action,Vivendi Games,0.41,3-Jun-08,71.0,72.0,7.5,49.0,High Moon Studios
Mobile Suit Gundam: Crossfire,PS3,Simulation,Namco Bandai Games,0.19,13-Nov-06,33.0,31.0,4.7,41.0,Bec
The Godfather: Blackhand Edition,Wii,Adventure,Electronic Arts,0.15,20-Mar-07,77.0,38.0,8.8,43.0,EA Redwood Shores
Phantom: Phantom of Inferno,X360,Adventure,Unknown,0.01,,,,,,
Smash Court Tennis 3,X360,Sports,Atari,0.09,19-Aug-08,55.0,32.0,tbd,,Bandai Namco Games
Code Lyoko: Quest for Infinity,Wii,Action,Game Factory,0.09,16-Nov-07,58.0,15.0,8.2,6.0,Game Factory
Top Gun: Hard Lock,X360,Action,505 Games,0.04,6-Mar-12,54.0,8.0,3.5,16.0,505 Games
Call of Duty: Black Ops,PS3,Shooter,Activision,12.08,9-Nov-10,88.0,58.0,6,850.0,Treyarch
Syphon Filter: Logan's Shadow,PSP,Shooter,Sony Computer Entertainment,0.43,2-Oct-07,85.0,41.0,9,33.0,Sony Bend
The Mummy: Tomb of the Dragon Emperor,Wii,Action,Vivendi Games,0.08,22-Jul-08,39.0,7.0,tbd,,Eurocom Entertainment Software
The BIGS 2,Wii,Sports,Take-Two Interactive,0.28,7-Jul-09,68.0,5.0,8.5,6.0,Blue Castle Games
Mortal Kombat,PS3,Fighting,Warner Bros. Interactive Entertainment,2.41,19-Apr-11,84.0,60.0,8.2,364.0,NetherRealm Studios
Water Sports,Wii,Action,Avanquest,0.1,27-Oct-09,,,tbd,,Activision
Gundam Battle Royale,PSP,Action,Namco Bandai Games,0.12,,,,,,
Tiger & Bunny: Hero's Day,PSP,Action,D3Publisher,0.02,,,,,,
Tiger Woods PGA Tour 11,PS3,Sports,Electronic Arts,0.79,8-Jun-10,78.0,40.0,6.6,16.0,EA Sports
TalkMan (Japan),PSP,Misc,Sony Computer Entertainment,0.18,,,,,,
Iron Man,PSP,Action,Sega,0.61,2-May-08,44.0,7.0,7.2,13.0,Artificial Mind and Movement
Brutal Legend,X360,Action,Electronic Arts,0.93,13-Oct-09,82.0,88.0,8.1,232.0,Double Fine Productions
Golden Axe: Beast Rider,PS3,Action,Sega,0.31,14-Oct-08,44.0,30.0,5.1,18.0,Secret Level
Hasbro Family Game Night 3,PS3,Misc,Electronic Arts,0.22,26-Oct-10,,,tbd,,Electronic Arts
Marvel vs. Capcom 3: Fate of Two Worlds,X360,Fighting,Capcom,1.02,15-Feb-11,85.0,77.0,7,161.0,Capcom
SSX On Tour,PSP,Sports,Electronic Arts,0.22,11-Oct-05,79.0,23.0,8.2,38.0,EA Montreal
Rayman Origins,X360,Platform,Ubisoft,0.69,15-Nov-11,87.0,55.0,8.2,167.0,UBlart Montpellier
