nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Ridge Racer,PSP,Racing,Sony Computer Entertainment,1.39,22-Mar-05,88.0,58.0,8.2,57.0,Namco
Tiger Woods PGA Tour 06,X360,Sports,Electronic Arts,0.3,16-Nov-05,71.0,36.0,7.4,8.0,EA Sports
Peter Jackson's King Kong: The Official Game of the Movie,X360,Action,Ubisoft,0.23,21-Nov-05,80.0,57.0,7.2,60.0,Ubisoft Montpellier
Tiger Woods PGA Tour 06,PSP,Sports,Electronic Arts,0.2,26-Sep-05,80.0,15.0,9,7.0,Team Fusion
Peter Jackson's King Kong: The Official Game of the Movie,PSP,Action,Ubisoft,0.18,20-Dec-05,56.0,10.0,6.2,20.0,Phoenix Games Studio
FIFA Soccer,PSP,Sports,Electronic Arts,0.12,25-Apr-05,73.0,23.0,7.7,22.0,EA Canada
WRC: FIA World Rally Championship,PSP,Racing,Sony Computer Entertainment,0.03,18-Apr-06,67.0,18.0,8.1,17.0,Traveller's Tales
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,4.12,20-Mar-06,94.0,90.0,8.7,938.0,Bethesda Softworks
Call of Duty 3,X360,Shooter,Activision,2.64,7-Nov-06,82.0,71.0,6.5,167.0,Treyarch
Marvel: Ultimate Alliance,X360,Role-Playing,Activision,2.47,24-Oct-06,82.0,68.0,7.3,91.0,Raven Software
Tom Clancy's Rainbow Six: Vegas,X360,Shooter,Ubisoft,1.92,20-Nov-06,88.0,69.0,8.4,179.0,Ubisoft Montreal
Madden NFL 07,X360,Sports,Electronic Arts,1.79,22-Aug-06,80.0,54.0,6,144.0,EA Tiburon
Need for Speed Carbon,X360,Racing,Electronic Arts,1.6,31-Oct-06,77.0,52.0,6.1,67.0,EA Canada
Call of Duty 3,PS3,Shooter,Activision,1.43,14-Nov-06,80.0,43.0,6.9,56.0,Treyarch
LEGO Star Wars II: The Original Trilogy,PSP,Action,LucasArts,1.37,12-Sep-06,83.0,11.0,9,22.0,Traveller's Tales
Need for Speed Carbon,Wii,Racing,Electronic Arts,1.25,19-Nov-06,67.0,21.0,7.7,23.0,EA Canada
FIFA 07 Soccer,PSP,Sports,Electronic Arts,1.2,17-Oct-06,80.0,15.0,9.1,22.0,EA Sports
Need for Speed Carbon,PS3,Racing,Electronic Arts,1.12,16-Nov-06,75.0,31.0,6.8,29.0,EA Canada
Sonic the Hedgehog,PS3,Platform,Sega,1.09,30-Jan-07,43.0,17.0,3.9,86.0,Sonic Team
Sonic the Hedgehog,X360,Platform,Sega,0.98,14-Nov-06,46.0,38.0,4.5,243.0,Sega
Rockstar Games presents Table Tennis,X360,Sports,Take-Two Interactive,0.73,22-May-06,81.0,75.0,7.6,60.0,Rockstar San Diego
NCAA Football 07,X360,Sports,Electronic Arts,0.71,18-Jul-06,79.0,43.0,6.9,19.0,EA Sports
Blazing Angels: Squadrons of WWII,PS3,Simulation,Ubisoft,0.64,12-Dec-06,67.0,26.0,6.9,9.0,Ubisoft
LEGO Star Wars II: The Original Trilogy,X360,Action,LucasArts,0.61,12-Sep-06,81.0,50.0,7.9,39.0,Traveller's Tales
Tony Hawk's Project 8,PS3,Sports,Activision,0.59,17-Nov-06,76.0,43.0,7,10.0,Neversoft Entertainment
NBA 2K7,X360,Sports,Take-Two Interactive,0.57,25-Sep-06,84.0,46.0,7.8,65.0,"Visual Concepts, Kush Games"
Tony Hawk's Project 8,PSP,Sports,Activision,0.55,21-Nov-06,68.0,11.0,7.8,13.0,Page 44 Studios
Madden NFL 07,PS3,Sports,Electronic Arts,0.51,14-Nov-06,76.0,25.0,4.2,18.0,EA Tiburon
Madden NFL 07,Wii,Sports,Electronic Arts,0.49,14-Nov-06,81.0,35.0,8,16.0,EA Canada
Tiger Woods PGA Tour 07,PS3,Sports,Electronic Arts,0.49,14-Nov-06,81.0,30.0,tbd,,EA Redwood Shores
Tony Hawk's Project 8,X360,Sports,Activision,0.47,7-Nov-06,81.0,65.0,7.5,33.0,Neversoft Entertainment
Tiger Woods PGA Tour 07,X360,Sports,Electronic Arts,0.47,17-Oct-06,80.0,44.0,7.9,21.0,EA Redwood Shores
Blazing Angels: Squadrons of WWII,X360,Simulation,Ubisoft,0.4,23-Mar-06,66.0,58.0,7.9,52.0,Ubisoft
Marvel: Ultimate Alliance,Wii,Role-Playing,Activision,0.39,14-Nov-06,73.0,31.0,7.2,27.0,Vicarious Visions
Major League Baseball 2K6,X360,Sports,Spike,0.37,10-Apr-06,66.0,22.0,3.9,37.0,Kush Games
NCAA Football 07,PSP,Sports,Electronic Arts,0.36,18-Jul-06,75.0,16.0,7.9,11.0,EA Sports
NBA 2K7,PS3,Sports,Take-Two Interactive,0.36,13-Nov-06,80.0,20.0,7.1,7.0,Visual Concepts
Marvel: Ultimate Alliance,PSP,Role-Playing,Activision,0.36,24-Oct-06,81.0,19.0,8.1,10.0,Vicarious Visions
Marvel: Ultimate Alliance,PS3,Role-Playing,Activision,0.35,17-Nov-06,78.0,35.0,7.2,34.0,Raven Software
Test Drive Unlimited,X360,Racing,Atari,0.3,5-Sep-06,82.0,69.0,8,77.0,Eden Studios
Tiger Woods PGA Tour 07,PSP,Sports,Electronic Arts,0.27,10-Oct-06,78.0,23.0,tbd,,Team Fusion
FIFA 07 Soccer,X360,Sports,Electronic Arts,0.27,31-Oct-06,73.0,39.0,7.7,44.0,EA Sports
NHL 07,X360,Sports,Electronic Arts,0.27,12-Sep-06,79.0,49.0,5.3,165.0,EA Sports
NBA 07,PS3,Sports,Sony Computer Entertainment,0.26,14-Nov-06,63.0,24.0,6.3,10.0,SCEA
NBA 07,PSP,Sports,Sony Computer Entertainment,0.2,25-Sep-06,68.0,24.0,tbd,,SCEA
Armored Core 4,PS3,Simulation,505 Games,0.18,20-Mar-07,65.0,36.0,6.8,21.0,From Software
NHL 07,PSP,Sports,Electronic Arts,0.16,12-Sep-06,76.0,7.0,6.1,20.0,EA Sports
Bomberman,PSP,Puzzle,Konami Digital Entertainment,0.15,12-Sep-06,73.0,30.0,5.8,4.0,Hudson
World Series of Poker: Tournament of Champions 2007 Edition,X360,Misc,Activision,0.15,,,,,,
Metal Slug Anthology,Wii,Shooter,Ignition Entertainment,0.13,14-Dec-06,73.0,38.0,7.8,18.0,Terminal Reality
Cabela's African Safari,X360,Sports,Activision Value,0.12,21-Nov-06,53.0,4.0,5.1,7.0,FUN Labs
NHL 2K7,PS3,Sports,Take-Two Interactive,0.12,13-Nov-06,79.0,24.0,6.6,5.0,Kush Games
World Series of Poker: Tournament of Champions 2007 Edition,PSP,Misc,Activision,0.1,,,,,,
Pimp My Ride,X360,Racing,Activision,0.1,6-Dec-06,38.0,14.0,3.7,27.0,Eutechnyx
NHL 2K7,X360,Sports,Take-Two Interactive,0.08,12-Sep-06,78.0,51.0,7.9,165.0,Kush Games
Samurai Warriors 2,X360,Action,Tecmo Koei,0.07,19-Sep-06,52.0,30.0,8.4,14.0,Omega Force
Dave Mirra BMX Challenge,PSP,Sports,Oxygen Interactive,0.07,2-Nov-06,32.0,11.0,6,6.0,Left Field Productions
Cabela's African Safari,PSP,Sports,Activision Value,0.05,17-Oct-06,,,tbd,,FUN Labs
World Series of Poker: Tournament of Champions 2007 Edition,Wii,Misc,Activision,0.05,,,,,,
MotoGP,PSP,Racing,Sony Computer Entertainment,0.03,26-Sep-06,69.0,18.0,8.2,5.0,Namco Bandai Games
Assassin's Creed,X360,Adventure,Ubisoft,5.39,13-Nov-07,81.0,77.0,7.8,844.0,Ubisoft Montreal
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,5.26,6-Nov-07,80.0,17.0,8.8,46.0,Traveller's Tales
Assassin's Creed,PS3,Adventure,Ubisoft,4.66,13-Nov-07,81.0,40.0,7.4,552.0,Ubisoft Montreal
The Elder Scrolls IV: Oblivion,PS3,Role-Playing,Ubisoft,2.91,20-Mar-07,93.0,45.0,7.9,474.0,4J Studios
Madden NFL 08,X360,Sports,Electronic Arts,2.35,14-Aug-07,85.0,46.0,6.4,105.0,EA Tiburon
LEGO Star Wars: The Complete Saga,X360,Action,LucasArts,2.12,6-Nov-07,80.0,24.0,6.8,71.0,Traveller's Tales
Need for Speed: ProStreet,X360,Racing,Electronic Arts,2.02,15-Nov-07,72.0,42.0,7.4,66.0,EA Black Box
Need for Speed: ProStreet,PS3,Racing,Electronic Arts,1.98,13-Nov-07,73.0,26.0,5.5,34.0,EA Black Box
LEGO Star Wars: The Complete Saga,PS3,Action,LucasArts,1.95,6-Nov-07,80.0,18.0,5.8,58.0,Traveller's Tales
FIFA Soccer 08,PS3,Sports,Electronic Arts,1.73,9-Oct-07,81.0,28.0,7.1,40.0,EA Canada
Pro Evolution Soccer 2008,PS3,Sports,Konami Digital Entertainment,1.58,11-Mar-08,74.0,19.0,6.3,43.0,Konami
