temperatura,vacuo,energia
9.77,34.69,477.51
31.54,67.32,433.02
13.63,40.92,462.4
9.61,44.03,473.54
5.35,35.79,483.2
22.06,59.39,441.31
25.8,71.58,435.2
13.31,42.18,466.56
16.55,54.3,460.59
11.28,42.44,473.36
26.89,70.32,435.56
6.24,35.77,483.36
27.14,63.13,438.82
23.45,51.95,449.07
32.86,68.51,432.38
7.82,40.72,481.52
29.45,70.02,437.82
26.77,68.08,432.91
25.19,63.94,438.73
28.91,70.72,439.94
18.95,46.21,457.58
24.31,67.79,444.72
14.66,41.66,466.87
6.13,39.48,484.12
14.24,45.01,461.64
8.61,37.49,477.13
11.02,40.0,468.09
20.53,49.16,444.69
11.3,40.55,476.72
13.32,41.7,451.93
24.54,65.46,446.26
13.97,41.16,459.84
18.44,39.72,460.44
17.81,37.2,470.97
11.77,40.0,475.49
30.67,72.86,432.76
11.46,39.3,475.51
25.02,69.75,437.87
17.74,58.33,446.01
18.12,50.16,453.29
21.75,58.79,447.58
28.57,75.33,431.58
12.29,42.18,468.75
10.44,39.04,480.34
22.43,63.94,444.53
14.12,42.86,471.86
20.37,44.58,463.2
32.27,71.85,429.72
24.91,57.17,446.01
27.1,79.74,431.51
14.81,44.88,464.65
23.39,74.22,439.92
29.05,65.74,440.74
27.54,75.6,440.87
17.98,39.63,466.69
24.85,68.37,442.66
9.0,39.18,483.26
21.75,58.79,447.58
12.29,42.18,468.75
18.7,66.51,458.73
31.38,71.32,433.44
23.51,70.04,435.78
9.32,36.3,479.52
21.58,67.25,446.15
25.13,59.44,445.59
14.05,39.59,464.63
22.67,68.08,443.79
23.07,65.46,446.19
21.03,59.8,453.86
26.38,49.5,457.81
14.93,43.02,468.19
17.99,50.59,462.2
23.44,72.24,438.34
25.42,69.71,435.59
31.87,71.22,437.0
31.01,69.04,442.07
23.04,57.32,442.01
23.48,66.49,450.05
29.46,71.94,428.54
30.7,71.58,429.27
15.39,42.28,467.3
22.67,62.52,449.34
13.12,48.04,463.46
20.36,56.53,455.34
26.2,72.24,432.65
22.0,51.3,450.18
12.05,49.83,454.18
29.29,70.02,438.84
14.79,44.06,465.77
26.13,79.74,431.29
14.22,42.32,465.0
14.87,42.18,465.89
8.83,36.25,478.45
19.89,44.9,453.09
20.54,61.27,451.95
19.8,52.9,456.64
31.33,76.86,431.44
18.43,56.03,465.17
21.13,51.43,445.4
23.68,68.3,438.65
13.97,53.82,465.24
10.45,39.61,477.41
5.89,40.07,493.9
8.16,39.64,481.78
18.28,44.71,462.28
11.88,40.64,470.06
25.16,58.82,442.0
30.21,75.33,431.46
23.31,60.37,438.52
23.66,67.17,443.43
30.28,70.98,432.64
27.83,59.57,443.85
23.01,66.54,442.47
22.93,62.26,438.34
24.58,56.9,437.16
26.63,74.16,436.03
9.06,43.79,482.8
20.27,63.56,446.93
30.68,73.67,429.64
22.46,58.33,445.9
13.39,44.58,474.7
11.46,44.85,475.33
32.78,71.22,438.77
22.49,58.71,443.33
16.2,38.73,467.89
25.37,58.33,444.46
27.7,72.24,434.56
21.67,69.71,440.16
29.54,74.99,432.94
21.12,49.15,456.92
29.22,73.18,430.57
32.56,68.94,425.61
8.88,36.66,480.2
13.56,39.52,470.67
19.66,58.79,447.93
9.04,40.11,473.57
6.85,37.49,483.12
9.66,40.05,481.14
30.35,77.17,432.75
32.51,69.98,428.37
17.29,44.06,461.38
27.55,73.68,431.86
19.89,68.08,448.71
7.32,39.42,476.12
18.6,60.1,453.94
8.83,43.56,482.43
28.71,71.64,432.05
26.02,59.57,446.5
22.07,70.72,442.88
17.08,38.58,461.49
12.92,39.35,469.83
23.95,58.46,440.75
24.19,68.94,439.52
4.47,35.19,487.43
9.76,40.71,470.95
8.36,40.22,484.66
28.5,71.32,435.7
20.08,58.79,451.21
8.47,41.03,485.1
20.32,44.6,460.21
26.36,54.5,451.81
12.15,45.01,468.07
25.18,65.06,440.27
18.81,49.15,459.81
23.48,64.15,450.89
14.45,52.75,459.85
21.86,60.27,446.31
5.53,35.79,484.25
12.45,40.81,474.73
4.99,39.04,472.52
13.92,43.41,464.76
19.04,51.86,458.64
22.09,65.59,447.28
10.78,41.93,478.88
31.97,79.74,435.99
14.86,43.14,461.14
7.81,40.71,475.46
21.22,59.15,450.96
31.43,69.89,426.15
12.37,46.97,464.4
10.14,42.02,472.17
6.49,36.3,483.43
24.42,57.32,443.94
19.35,43.43,454.02
22.78,62.44,446.12
25.04,66.48,433.83
26.77,64.45,449.1
19.07,49.69,453.09
23.43,63.94,440.16
27.25,50.05,439.63
21.97,58.79,448.8
21.11,74.78,442.68
18.8,44.71,459.85
23.54,41.1,448.56
24.6,63.78,448.65
33.15,70.4,430.15
22.12,63.91,447.77
9.33,36.3,479.6
23.0,60.27,442.0
22.02,69.45,440.26
25.65,43.77,444.01
15.01,39.52,468.02
33.18,72.29,435.26
26.92,68.27,435.17
25.54,70.47,436.16
22.58,58.12,448.32
26.19,73.77,433.34
12.28,43.67,475.08
7.3,43.65,482.96
27.57,69.84,426.6
20.6,45.38,460.24
9.34,41.49,471.04
20.6,60.08,454.39
14.76,49.64,461.16
23.36,62.52,448.37
29.98,47.93,438.79
12.24,44.9,464.25
27.07,66.93,446.48
20.19,58.86,450.67
28.96,75.23,439.03
25.22,71.85,438.71
18.03,53.16,457.73
8.05,40.62,477.2
13.9,45.08,465.31
24.82,66.48,433.62
10.03,41.62,462.73
27.99,71.58,435.99
24.56,58.82,442.76
19.5,40.79,457.09
15.08,42.77,461.68
2.64,39.64,481.29
22.67,68.08,443.79
28.05,62.6,449.73
23.69,65.59,439.66
31.85,73.91,431.26
13.56,41.48,459.76
26.16,63.76,437.24
22.36,64.15,453.94
19.61,45.01,461.97
11.05,40.75,478.07
24.49,49.82,451.42
8.05,40.62,477.2
29.45,75.6,437.31
29.28,65.71,445.49
8.9,40.77,479.18
18.6,58.71,430.38
31.17,69.51,428.94
18.81,52.08,450.72
13.56,42.34,462.6
7.23,41.22,483.31
13.94,41.26,467.9
23.39,71.25,435.68
19.16,63.09,449.51
16.37,44.0,460.14
31.23,72.58,427.58
15.85,49.69,464.72
18.41,65.94,452.66
21.49,70.32,443.04
19.83,51.43,449.45
6.25,40.07,494.39
30.13,78.05,434.14
6.29,43.65,485.8
29.24,74.67,432.61
14.01,42.74,466.15
18.06,65.48,454.34
17.19,37.2,468.4
6.31,42.07,483.27
22.5,59.54,445.22
5.45,39.04,487.33
31.11,71.8,437.2
9.43,43.69,478.48
14.19,43.71,467.8
30.1,47.93,435.27
13.24,40.83,472.22
12.15,71.14,462.51
14.33,38.73,468.86
24.73,70.72,439.3
11.11,37.5,473.32
28.51,76.09,438.28
26.65,74.16,431.47
10.44,37.83,474.42
15.83,45.01,460.22
26.12,75.6,439.68
22.95,63.94,447.13
10.61,41.58,465.15
23.89,70.04,433.71
14.38,40.66,463.1
21.39,62.96,452.68
26.12,66.75,433.67
28.3,64.33,441.51
22.98,69.84,437.49
10.07,40.92,467.01
16.38,47.45,450.69
11.37,41.5,475.94
30.19,64.79,438.41
30.34,68.08,428.34
27.71,69.51,435.04
16.85,50.9,460.68
29.96,67.83,433.13
23.22,66.56,437.11
26.26,73.06,435.41
11.64,41.39,479.53
10.77,41.44,479.19
27.76,75.33,433.03
22.88,69.45,441.76
13.9,44.0,466.24
30.74,71.77,434.89
16.11,44.92,460.99
15.3,43.67,468.14
30.76,73.17,430.98
32.06,75.33,432.92
22.97,62.4,445.3
8.57,41.17,484.2
11.72,39.18,468.98
12.95,41.23,469.05
29.86,69.34,433.57
14.1,42.18,463.3
13.06,41.78,467.67
25.23,66.44,438.28
20.3,62.52,451.86
21.42,43.79,462.19
30.12,73.18,429.31
31.25,74.34,432.22
25.61,47.43,442.96
24.15,64.63,448.87
15.45,45.0,469.54
19.07,44.63,456.37
14.8,44.71,470.77
9.08,42.49,481.46
16.29,50.88,456.28
10.35,40.27,477.8
12.35,44.2,471.65
17.99,43.79,462.4
16.9,44.88,466.8
23.13,61.47,438.8
8.01,40.02,477.84
28.92,61.02,436.76
21.28,44.05,444.56
21.81,60.27,441.85
27.44,52.3,441.75
