temperatura,vacuo
8.34,40.77
23.64,58.49
29.74,56.9
19.07,49.69
11.8,40.66
13.97,39.16
22.1,71.29
14.47,41.76
31.25,69.51
6.77,38.18
28.28,68.67
22.99,46.93
29.3,70.04
8.14,37.49
16.92,44.6
22.72,64.15
18.14,43.56
11.49,44.63
9.94,40.46
23.54,41.1
14.9,52.05
33.8,64.96
25.37,68.31
7.29,41.04
13.55,40.71
6.39,35.57
26.64,62.44
7.84,41.39
21.82,58.66
27.17,67.45
13.42,41.23
20.77,56.85
8.29,36.08
30.98,67.45
31.96,71.29
15.83,52.75
22.56,70.79
25.91,75.6
8.24,39.61
24.66,60.29
29.31,68.67
21.48,66.91
18.28,44.71
26.96,65.34
16.01,65.46
27.37,63.73
16.3,39.63
23.8,48.6
8.19,41.66
25.28,67.69
21.47,70.32
30.54,67.45
18.3,44.06
25.82,72.39
31.12,69.13
15.99,39.63
8.42,42.28
23.7,69.23
15.71,40.12
29.11,74.9
23.73,61.02
28.26,65.34
15.92,41.2
33.4,70.8
31.92,68.3
26.87,74.99
5.23,40.78
15.72,41.76
17.74,50.88
27.13,59.54
25.82,66.49
34.2,68.14
19.13,68.61
11.77,41.06
10.25,41.46
23.82,48.92
30.1,66.25
29.92,69.75
29.63,66.75
30.61,77.17
16.18,50.88
31.66,73.91
29.14,61.5
18.4,43.96
15.86,38.62
6.31,42.07
23.4,72.99
33.62,77.17
6.89,43.65
27.41,69.98
26.37,54.5
26.58,59.39
15.25,43.02
21.24,41.67
24.98,58.05
26.63,64.44
18.87,52.08
5.12,40.78
31.1,71.32
7.91,39.96
14.97,58.2
28.92,61.02
22.92,61.9
12.55,38.91
9.38,41.44
10.28,41.46
30.31,77.24
25.34,71.06
30.47,70.02
20.18,56.53
21.31,46.97
22.1,74.87
20.09,63.94
22.36,58.79
9.43,37.14
28.86,49.3
23.25,70.32
22.7,60.84
21.3,59.39
19.94,44.9
14.97,43.67
13.83,40.78
23.39,71.25
21.48,47.43
22.63,58.41
20.01,45.09
20.52,43.79
13.58,49.83
14.38,44.84
28.53,69.84
13.89,35.71
25.93,69.34
17.84,61.27
6.28,41.06
8.16,39.64
18.61,67.71
16.23,43.72
8.66,41.01
19.53,66.54
10.17,40.46
6.48,40.27
12.69,40.75
23.77,61.87
14.43,43.5
28.25,57.19
12.26,39.96
14.55,42.74
24.57,51.95
10.25,41.26
21.96,51.43
9.82,39.64
18.58,44.6
20.57,44.9
8.61,41.04
9.99,43.52
13.97,52.05
16.76,43.67
25.58,47.01
17.34,46.48
19.13,66.86
12.75,40.64
29.46,49.3
15.59,52.75
